brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
EXEED,RX,2024,1,False,2024,2.0,бензин,249,АКПП,4WD,внедорожник,2249360212,N/A,левый,2.0 TGDI AT AWD Premium
Лада,Веста Кросс,2024,1,True,2024,1.8,бензин,122,вариатор,передний,универсал,335,1,левый,1.8 CVT 2WD Techno'24
EXEED,RX,2024,1,False,2024,2.0,бензин,249,АКПП,4WD,внедорожник,2249360212,N/A,левый,2.0 TGDI AT AWD Flagship
EXEED,VX,2024,1,True,2024,2.0,бензин,249,АКПП,4WD,внедорожник,4683161318272740880853747737,N/A,левый,2.0T AT AWD President (7 мест)
Jeep,Grand Cherokee,2017,4,True,2017,3.6,бензин,286,АКПП,4WD,джип,35000,2,левый,3.6 AT Trailhawk
EXEED,VX,2024,1,True,2024,2.0,бензин,249,АКПП,4WD,внедорожник,4683161318272740880853747737,N/A,левый,2.0T AT AWD President (7 мест)
Skoda,Octavia,2019,3,True,2019,1.4,бензин,150,робот,передний,лифтбек,106000,3,левый,1.4 TSI DSG Style
EXEED,RX,2024,1,False,2024,2.0,бензин,249,АКПП,4WD,внедорожник,384188239200736362775,N/A,левый,2.0 TGDI AT AWD Premium
Mercedes,Benz AMG GT,2020,1,True,2020,3.0,бензин,367,АКПП,4WD,лифтбек,73000,N/A,правый,3.0 AT GT 43 4MATIC+
EXEED,VX,2024,1,True,2024,2.0,бензин,249,АКПП,4WD,внедорожник,4683161318272740880853747737,N/A,левый,2.0T AT AWD President (7 мест)
EXEED,RX,2024,1,False,2024,2.0,бензин,197,робот,4WD,внедорожник,384188239200736362775,N/A,левый,2.0 TGDI DCT AWD Urban
FAW,Besturn X80,2018,1,False,802018,2.0,бензин,142,механика,передний,внедорожник,82697,3,левый,N/A
EXEED,TXL,2024,1,True,2024,1.6,бензин,194,робот,4WD,внедорожник,203209102843829608,N/A,левый,1.6 DCT AWD Business; бензин
BMW,X3,2019,3,False,32019,2.0,бензин,249,АКПП,4WD,внедорожник,127000,2,левый,xDrive 30i AT Base; пробег 127000 км; 4вд
BMW,X5,2021,4,False,52021,3.0,бензин,340,АКПП,4WD,внедорожник,63000,2,левый,xDrive 40i AT M Sport Pro
Mercedes,Benz E Class,2012,4,False,2012,1.8,бензин,184,АКПП,задний,седан,208450,4,левый,E 200 CGI BlueEfficiency AТ Elegance
Ford,Focus,2012,3,False,2012,1.6,бензин,125,робот,передний,хэтчбек 5 дв.,156130,4,левый,1.6 Ti-VCT DSG Trend
Honda,Accord,2003,7,False,2003,2.0,бензин,220,механика,передний,седан,1,3,правый,2.0 Euro R
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Mitsubishi,Outlander,2008,2,False,2008,3.0,бензин,220,АКПП,4WD,внедорожник,222596,3,левый,3.0 AT Inspire
BMW,5 Series,2018,7,False,5,3.0,дизель,249,АКПП,4WD,седан,119585,3,левый,530d AT xDrive M Sport
Chery,Tiggo 4,2022,1,True,42022,1.5,бензин,113,вариатор,передний,внедорожник,41000,1,левый,1.5 CVT Luxury
Peugeot,207,2007,1,False,2072007,1.6,бензин,120,механика,передний,хэтчбек 5 дв.,326,2,левый,1.6 VTi MT Urban 5dr.; пробег; механика
Toyota,Camry,2010,7,True,2010,3.5,бензин,277,АКПП,передний,седан,334177,4,левый,3.5 AT Luxe
Tank,500,2024,1,False,5002024,2.0,бензин,245,АКПП,4WD,внедорожник,N/A,N/A,левый,HEV 2.0T AT 4WD Urban
Tank,400,2024,1,False,4002024,2.0,бензин,245,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0T AT 4WD Premium
Tank,700,2024,1,False,7002024,3.0,бензин,354,АКПП,4WD,внедорожник,N/A,N/A,левый,MHEV 3.0T AT 4WD Premium
Honda,Freed,2011,1,False,2011,1.5,бензин,118,вариатор,передний,минивэн,148245,3,правый,Honda Freed I 1.5 CVT (118 л.с.)
Kia,Ceed,2013,2,False,2013,1.6,бензин,129,АКПП,передний,хэтчбек 5 дв.,210809,4,левый,1.6 AT Luxe
Honda,Odyssey,2004,3,False,2004,2.4,бензин,160,вариатор,передний,минивэн,268144,2,правый,Honda Odyssey III 2.4 CVT (160 л.с.)
Kia,Rio,2017,4,False,2017,1.6,бензин,123,АКПП,передний,седан,54668,1,левый,1.6 AT Comfort
Mitsubishi,Outlander,2011,2,True,2011,2.0,бензин,147,вариатор,4WD,внедорожник,216547,4,левый,Mitsubishi Outlander II Рестайлинг 2.0 CVT (147 л.с.) 4WD
Mazda,CX 8,2018,1,False,82018,2.2,дизель,190,АКПП,передний,внедорожник,157000,1,правый,2.2 XD Diesel Turbo 6 seat
Hyundai,i40,2013,1,False,402013,2.0,бензин,150,механика,передний,седан,176116,4,левый,2.0 MT Comfort
Toyota,Carina,1994,6,True,1994,1.8,бензин,115,АКПП,передний,седан,220000,4,правый,1.8 SE extra
Лада,Веста,2020,1,False,2020,1.6,бензин,106,механика,передний,универсал,50016,1,левый,1.6 MT Classic + Start
Toyota,Town Ace,2001,3,False,2001,2.2,дизель,79,механика,задний,минивэн,407870,4,правый,Toyota Town Ace III 2.2d MT (79 л.с.)
Nissan,X Trail,2008,2,False,2008,2.5,бензин,169,вариатор,4WD,внедорожник,276311,4,левый,2.5 CVT LE
Chery,Tiggo 9,2025,2,False,92025,2.0,бензин,249,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0 TGDI AT AWD Ultra
Лада,Гранта,2023,1,True,2023,1.6,бензин,90,механика,передний,седан,41500,1,левый,Гранты средняя: кондиционер...
Лада,Гранта,2022,1,True,2022,1.6,бензин,90,механика,передний,седан,75000,2,левый,1.6 MT Classic ’22 Plus; бенз.; 1.6 литра; МКПП
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Mitsubishi,Lancer,2004,9,True,2004,1.6,бензин,98,АКПП,передний,седан,304743,4,левый,Mitsubishi Lancer IX 1.6 AT (98 л.с.)
Skoda,Rapid,2019,1,True,2019,1.6,бензин,110,АКПП,передний,лифтбек,81000,2,левый,1.6 MPI AT Monte Carlo
Chery,Tiggo 7 Pro Max,2025,1,True,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 GDI 4WD DCT Ultra
Honda,CR V,2020,5,True,2020,1.5,бензин,190,вариатор,4WD,внедорожник,70000,N/A,левый,N/A
Chery,Tiggo 4 Pro,2025,1,False,4,1.5,бензин,113,вариатор,передний,внедорожник,N/A,N/A,левый,1.5 CVT 18 Years Edition Action
Kia,Ceed,2021,3,False,2021,1.6,бензин,128,АКПП,передний,универсал,141124,1,левый,1.6 AT Luxe; АКПП; бензин; с пробегом
Renault,Kaptur,2017,1,False,2017,2.0,бензин,143,механика,4WD,внедорожник,155000,1,левый,N/A
Hyundai,Solaris,2013,1,False,2013,1.6,бензин,123,механика,передний,хэтчбек 5 дв.,172000,2,левый,1.6 MT Active; бензиновый; пробег 172000 км; бу
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Renault,Sandero,2018,2,True,2018,1.6,бензин,113,механика,передний,хэтчбек,131828,3,левый,1.6 MT Life
Skoda,Octavia,2004,1,True,2004,1.8,бензин,150,механика,передний,лифтбек,378059,4,левый,1.8 20V Turbo MT Elegance; бензин; лифтбек
Toyota,ist,2002,1,False,2002,1.5,бензин,109,АКПП,передний,хэтчбек,170000,4,правый,N/A
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Prime
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Prime
Kia,Sportage,2020,4,True,2020,2.0,бензин,150,АКПП,4WD,джип/suv 5 дв.,65543,1,левый,Kia Sportage IV Рестайлинг 2.0 AT (150 л.с.) 4WD
Toyota,Caldina,2000,2,True,2000,2.0,бензин,140,АКПП,передний,универсал,350000,4,правый,2.0 E
Toyota,Land Cruiser Prado,2019,4,True,2019,2.7,бензин,163,АКПП,4WD,джип/suv 5 дв.,30000,N/A,правый,2.7 TX L Package 7 seat 4WD
Toyota,Noah,2014,3,False,2014,1.8,бензин,99,вариатор,передний,минивэн,180000,2,правый,1.8 Hybrid G; гибрид
Chery,Tiggo 8 Pro Max,2024,1,True,8,1.6,бензин,186,робот,передний,внедорожник,N/A,N/A,левый,1.6T DCT Dreamline
Kia,Rio,2019,4,False,2019,1.6,бензин,123,АКПП,передний,седан,56796,1,левый,1.6 AT Luxe
Nissan,Qashqai,2020,2,True,2020,2.0,бензин,144,вариатор,передний,внедорожник,89000,1,левый,2.0 CVT LE Top
Toyota,Wish,2003,1,False,2003,1.8,бензин,132,АКПП,передний,минивэн,220000,3,правый,1.8 X S package
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,249,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0 TGDI AT AWD Ultra
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,249,АКПП,4WD,"адаптивный круиз-контроль, датчик давления в шинах, электронная приборная панель, проекционный дисплей. Запуск двигателя с кнопки, система доступа без ключа и открытие багажника без помощи рук добавляют удобства в повседневное использование автомобиля. Безопасность водителя и пассажиров обеспечивается благодаря наличию подушек безопасности, системы контроля слепых зон, системы предотвращения столкновения, ABS и других систем. Обогрев лобового стекла, форсунок стеклоомывателей и зеркал делает эксплуатацию автомобиля комфортной в любых погодных условиях. Эргономичный салон с кожаной обивкой и декоративной подсветкой создаёт приятную атмосферу внутри автомобиля. Электрорегулировка задних сидений, вентиляция передних и задних сидений, а также сиденья с массажем обеспечивают комфорт даже в длительных поездках.",N/A,N/A,левый,2.0 TGDI AT AWD Ultra; полный привод
IVECO,Massif,2003,N/A,False,2003,2.8,дизель,125,N/A,полный,пикап,650000,2,левый,N/A
Nissan,Skyline,1995,9,False,1995,2.5,бензин,190,АКПП,задний,седан,310000,1,правый,2.5 GTS25
Tenet,T7,2025,1,False,72025,1.6,бензин,150,робот,передний,N/A,N/A,N/A,левый,1.6 TGDI DCT Prime
Toyota,Corolla Fielder,2020,3,True,2020,1.5,бензин,109,вариатор,передний,универсал,118000,N/A,правый,1.5 EX; серебристый; автомат AT
Tenet,T7,2025,1,False,72025,1.6,бензин,150,робот,передний,N/A,N/A,N/A,левый,1.6 TGDI DCT Prime
Tenet,T7,2025,1,False,72025,1.6,бензин,150,робот,передний,N/A,N/A,N/A,левый,1.6 TGDI DCT Active
Chery,Tiggo 7L,2025,7,False,7,1.6,бензин,150,робот,передний,"подогрев всех сидений, электростеклоподъёмники, регулировка руля по высоте и вылету, а также мультифункциональное рулевое колесо. Аудиосистема с поддержкой Bluetooth, USB, Android Auto и CarPlay позволяет наслаждаться любимой музыкой в дороге. Безопасность Chery Tiggo 7L обеспечивают антиблокировочная система тормозов (ABS), система курсовой стабилизации (ESP/ESC/DSC/VSA), подушки безопасности водителя, пассажира и боковые подушки безопасности. Кроме того, автомобиль оснащён датчиками давления в шинах, датчиком дождя и датчиком света, что повышает комфорт и безопасность вождения. Дополнительные преимущества включают в себя светодиодные фары, обогрев лобового стекла, обогрев форсунок стеклоомывателей, обогрев зеркал и электрорегулировку зеркал. Рейлинги на крыше позволяют установить дополнительные багажники для перевозки спортивного инвентаря или других крупногабаритных предметов.",N/A,N/A,левый,1.6 TGDI DCT Active
Tenet,T7,2025,1,False,72025,1.6,бензин,150,робот,передний,N/A,N/A,N/A,левый,1.6 TGDI DCT Active
Лада,Веста,2023,1,True,2023,1.6,бензин,106,механика,передний,седан,36702,1,левый,1.6 MT 2WD Techno'24; белый
Chery,Tiggo 7 Pro Max,2025,1,True,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 GDI 4WD DCT Ultra
Honda,Freed,2009,1,False,2009,1.5,бензин,118,вариатор,передний,минивэн,178000,1,правый,1.5 Gi aero
Chery,Arrizo 8,2024,1,False,82024,1.6,бензин,150,робот,передний,седан,N/A,N/A,левый,1.6 DCT Active
